"ID","DV"
223,NA
242,133.520211164192
177,138.017861693446
337,174.506895244228
152,156.396926642814
260,160.478325407018
57,181.773345099311
85,181.112102391458
327,162.315312267102
344,176.122922980769
166,168.177455565338
233,184.505122886527
147,140.930402204934
143,219.066156274121
414,175.181763238716
314,177.706446242839
245,188.560194313608
360,104.147774747564
429,144.547086548929
319,230.605256792117
259,184.85133738494
250,148.426381589425
374,149.922755331007
91,160.385311558484
79,105.597005059341
389,213.106303459192
128,131.900537168952
262,197.529575667107
266,NA
52,174.994294064399
59,222.851807641475
354,160.388665222948
380,192.855629817164
364,125.31601736452
356,200.304246600264
108,184.839328533339
42,165.613719557522
196,120.715235587384
140,126.021890997554
369,174.460502763721
428,210.794183579563
154,188.131074534482
420,185.782362813925
195,135.404026064834
206,NA
343,214.609114412888
173,151.368203395797
400,157.540843677749
263,221.054558448902
237,157.729965824175
33,132.27241265081
388,123.942395113238
230,99.4789872492244
299,89.4169973562928
43,174.840628570369
141,179.00677668001
4,218.178653722357
5,162.089553380976
345,193.935712855311
17,172.281003775
87,136.701802053755
99,210.829326977152
383,152.484549941018
9,204.084940491231
238,185.465627698398
202,NA
273,NA
136,180.493526158142
290,136.78490183931
228,142.231547518205
86,130.068588284064
257,175.173484931306
153,149.190889684986
367,157.385694148798
396,153.916262626941
225,215.344077533041
144,138.434249435669
395,131.744180596887
244,221.82435243648
185,100.826785746803
187,185.652112695665
329,140.944695087534
26,180.336348495065
122,203.969563697679
182,147.649702267679
409,144.780650969526
408,233.399832337332
394,203.861692184131
169,181.298256468961
127,211.320295905441
255,146.819924798541
406,133.935118733462
418,128.874391714462
239,186.837530681672
366,168.442729996875
224,176.023329537132
204,NA
399,170.596634736518
92,140.969308495835
1,184.354083792171
285,174.791237498762
94,132.570594822084
7,122.470055648442
21,129.168104487226
438,166.33909960057
423,107.011337969757
435,140.95995276403
306,150.971736379696
138,151.259150744202
76,222.891907446684
252,149.719813152787
402,144.893017478269
298,166.292087672439
249,129.359832955925
341,192.477613954004
256,184.274239447952
248,136.424708898096
221,NA
23,161.833376817011
117,200.270335926935
253,97.4666564450729
119,186.840346545451
311,129.356106193449
398,187.500462854495
19,161.055814426777
115,161.606865936975
142,161.564946324906
275,173.263528857355
155,102.795046239634
114,183.45251285173
197,149.993199933978
163,177.48058689315
172,169.360192094704
188,141.886682500505
353,130.901165878081
333,106.599154968012
426,156.887817375536
413,153.735846364111
434,176.795588907546
8,144.290442501488
75,94.3971095699464
405,167.821859749582
145,156.377143516721
134,214.304366465163
433,132.592376753603
98,NA
149,140.713393079759
103,188.774262444106
130,158.559291777935
40,174.718462237131
171,191.892557219432
71,166.00773612506
131,143.815224150218
156,200.202078230227
211,NA
359,80.4284071429103
430,134.204080147753
146,177.936799661555
384,154.410349368596
351,124.01305515554
106,155.906689493471
386,159.434565390095
323,210.036443287599
214,210.190367400583
404,153.099238643949
415,157.15351525998
251,140.682352537979
357,163.615970854389
220,NA
123,191.150798457087
287,150.376783476872
62,153.079007693488
385,157.77245227691
205,169.176230848401
165,146.28957362121
72,148.379993688875
132,216.069558771936
124,139.337883018116
51,150.503776272889
376,222.357206170345
372,166.635182012861
338,118.358159959642
269,171.885678448355
209,84.672960170039
45,156.591297660798
217,151.095223064479
231,216.765319488046
412,200.99591764006
176,146.835808862272
309,136.749491315064
203,173.566004807382
310,181.59854751425
222,161.116697612358
365,177.830399912711
392,157.886623560466
300,132.974442433429
276,192.468306009959
219,197.686554084376
277,124.800266941223
336,187.248911838979
61,158.338481508063
350,125.760980485988
301,156.956671434225
89,183.721910341998
84,147.253043978457
218,212.998878922493
47,155.026014703503
313,168.3583501977
401,144.612975841356
118,214.314297284679
110,118.270194199052
424,143.038209621971
113,178.002527440342
282,153.60595001712
157,173.691916036101
194,NA
46,147.672341093469
297,160.351915372676
261,214.425902849843
159,156.026859705402
425,188.022549489834
18,171.568969273699
240,151.920009665781
148,176.320635581955
378,175.335087226965
349,199.529326709148
125,161.5886811856
116,195.362052480766
410,181.521056105974
264,168.588446687452
83,109.037752608837
39,176.877811725775
422,106.362522460008
368,NA
330,121.738877525214
305,134.260769229702
340,119.628316089096
186,NA
81,173.856759318814
373,180.578375680081
403,128.154219196682
54,154.099528953137
317,137.322445435255
308,134.388000551017
170,140.952574204323
97,212.124147901116
181,174.354331810018
296,212.63261102437
198,NA
407,187.358623111262
328,198.541856066022
69,117.803703629189
235,116.350378836499
342,210.574688829511
68,208.179727699399
36,189.910418121098
355,112.048754860894
100,150.92532066979
175,125.939983593156
31,171.791003236835
82,120.202602679367
436,219.848912853541
416,179.27345040856
102,185.313791587459
274,204.164945071356
78,96.9445507650594
6,132.916911515512
411,138.728215151101
30,NA
56,182.32040983117
22,200.449987945161
283,133.912556693803
201,165.465073985786
334,149.379356352818
16,172.356474022654
427,214.120106489232
316,128.718264346613
184,182.366007257052
207,139.486454291169
133,149.971083066119
375,142.195192823726
322,122.258142037165
3,145.539315626066
377,185.736187422547
129,184.735754843731
121,144.067891920276
379,202.680724726559
363,195.927506058422
258,155.732984715249
284,132.740973499001
335,195.009667741752
161,170.79784454231
29,205.69054033073
120,192.762546425733
215,199.164922545179
421,241.221773411818
107,180.78923469381
77,147.30293806853
80,150.831792314712
292,205.53623518922
13,156.912126880472
55,156.217810807334
64,194.383837827696
208,157.054047304891
272,190.533876726141
37,133.52840069349
50,179.72722673097
267,126.432529646311
289,175.632199208982
199,228.20187367413
111,194.123817366603
278,170.418792928338
304,163.754749031097
135,NA
67,140.606992388017
236,142.313295656592
339,183.107931659149
318,140.440452206153
294,225.510186737033
73,195.923145345583
63,191.547236954364
270,159.584412770583
254,124.151686252447
49,194.506452212849
105,128.691579159641
60,198.640305720884
216,168.2421681175
191,218.590733460388
58,165.716434756486
312,219.787969507383
279,NA
246,134.6115656429
109,NA
95,146.098680523354
11,184.51475457549
104,148.5717892296
232,186.737352102194
174,184.379422843843
390,173.007447769284
281,200.203504583322
96,196.860184218518
325,NA
393,140.033567905829
371,NA
226,NA
200,155.869910405415
387,62.2087978527986
158,142.874826922168
93,145.437572649551
288,208.395329283018
101,207.60758698728
271,125.661011153666
193,NA
370,126.325371850509
397,133.496531324162
139,129.116440772838
391,150.883510352496
358,132.251664176773
280,164.857236835121
243,125.204034633533
417,125.947412700372
162,166.135936583613
437,160.919627543986
381,197.437873874329
302,175.296962845825
53,153.597727704219
25,193.608947612855
151,120.944343601138
179,153.698030133189
112,200.877585712951
41,163.369066731775
35,170.099077317805
332,NA
66,NA
361,166.986168856524
286,173.059341258852
234,199.973185313398
48,NA
431,148.549913982521
307,167.176024023628
419,164.434131103996
65,183.527478872479
167,174.186536054557
213,157.329204941616
180,NA
126,180.835046814736
303,225.943635899587
34,153.662352161917
315,196.233236181606
183,NA
90,142.323777365035
346,157.931826237415
20,180.417998281592
432,154.646273204685
32,159.999767333421
2,150.549574755906
150,186.03224772136
14,124.064113426396
210,128.688580334478
229,154.49908877557
189,206.095932689229
347,161.564415912422
15,200.447515155659
88,154.044242843252
291,117.000379527034
295,184.703742094399
382,169.312149523654
190,177.785600649794
24,181.823052018472
12,142.87885057446
324,137.275612175759
44,108.799886937709
137,178.805003904964
265,202.439349601385
38,221.507104993915
27,191.971606026878
268,214.636584960473
74,144.532431851512
247,187.566420367472
168,NA
321,137.196260968453
10,139.331164034002
320,145.404302517334
293,192.457468559116
348,131.416212730999
178,145.725976525002
160,NA
331,173.013518756356
70,103.503151677742
164,182.305800996957
227,150.850128889004
241,205.281615556333
362,NA
326,101.210773235493
192,154.210410565691
352,188.852229273115
28,182.60630082891
212,125.232077497863
